currency,name_raw,count,both_valid,actual_distinct,forecast_distinct,cadence,median_gap_days,date_min,date_max,real_signal,passes_threshold,bucket,reason
CHF,Bank Holiday,151,151,1,1,weekly,7.0,2022-12-31,2026-05-24,False,True,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
GBP,10-y Bond Auction,128,128,91,1,weekly,8.0,2023-01-05,2026-07-02,False,True,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
USD,CB Leading Index m/m,121,121,18,10,weekly,6.5,2023-01-18,2026-06-18,False,True,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
NZD,GDT Price Index,114,114,58,1,monthly,13.0,2023-01-02,2026-06-16,False,True,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
USD,President Trump Speaks,104,104,1,1,weekly,4.0,2025-01-20,2026-07-01,False,True,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
USD,FOMC Member Bowman Speaks,104,104,1,1,weekly,7.5,2023-01-17,2026-06-25,False,True,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
GBP,30-y Bond Auction,101,101,78,1,weekly,7.0,2023-01-11,2026-03-26,False,True,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
GBP,BOE Gov Bailey Speaks,98,98,1,1,weekly,10.0,2023-01-10,2026-07-03,False,True,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
USD,FOMC Member Goolsbee Speaks,94,94,2,2,weekly,7.0,2023-02-28,2026-06-25,False,True,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
USD,FOMC Member Williams Speaks,90,90,1,1,weekly,9.5,2023-01-10,2026-06-25,False,True,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
USD,FOMC Member Barr Speaks,87,87,1,1,weekly,9.0,2023-01-09,2026-06-06,False,True,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
USD,FOMC Member Barkin Speaks,77,77,1,1,weekly,7.5,2023-01-03,2026-06-28,False,True,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
USD,FOMC Member Waller Speaks,77,77,1,1,monthly,13.0,2023-01-16,2026-05-31,False,True,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
USD,FOMC Member Bostic Speaks,73,73,1,1,weekly,8.0,2023-01-08,2026-02-24,False,True,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
GBP,MPC Member Pill Speaks,69,69,1,1,monthly,12.0,2023-01-08,2026-06-29,False,True,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
USD,API Weekly Statistical Bulletin,65,65,1,1,weekly,7.0,2025-04-08,2026-06-30,False,True,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
USD,FOMC Member Daly Speaks,55,55,1,1,monthly,14.0,2023-01-19,2026-07-02,False,True,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
NZD,Westpac Consumer Sentiment,55,55,44,1,monthly,27.0,2023-01-15,2026-06-16,False,True,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
JPY,Prelim Machine Tool Orders y/y,55,55,42,1,monthly,28.0,2023-01-15,2026-06-09,False,True,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
AUD,Monetary Policy Meeting Minutes,54,54,1,1,monthly,21.5,2023-01-22,2026-06-30,False,True,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
