step,added,currency,category,score_precise,n
0,(baseline),EUR,growth,-0.25,4
0,(baseline),EUR,inflation,-1.0,3
0,(baseline),EUR,labour,1.0,2
0,(baseline),CHF,growth,0.6666666666666666,3
0,(baseline),CHF,inflation,-1.5,2
0,(baseline),CHF,labour,-2.0,1
0,(baseline),AUD,growth,-0.5,2
0,(baseline),AUD,inflation,-1.0,2
0,(baseline),AUD,labour,0.0,3
0,(baseline),CAD,growth,1.0,2
0,(baseline),CAD,inflation,0.6666666666666666,3
0,(baseline),CAD,labour,1.5,2
0,(baseline),USD,growth,0.25,4
0,(baseline),USD,inflation,0.0,4
0,(baseline),USD,labour,0.0,6
0,(baseline),GBP,growth,-0.5,4
0,(baseline),GBP,inflation,-0.3333333333333333,3
0,(baseline),GBP,labour,1.0,3
0,(baseline),NZD,growth,0.0,2
0,(baseline),NZD,inflation,0.5,2
0,(baseline),NZD,labour,0.6666666666666666,3
0,(baseline),JPY,growth,1.3333333333333333,3
0,(baseline),JPY,inflation,0.0,2
0,(baseline),JPY,labour,0.0,2
1,JPY/Tokyo Core CPI y/y,EUR,growth,-0.25,4
1,JPY/Tokyo Core CPI y/y,EUR,inflation,-1.0,3
1,JPY/Tokyo Core CPI y/y,EUR,labour,1.0,2
1,JPY/Tokyo Core CPI y/y,CHF,growth,0.6666666666666666,3
1,JPY/Tokyo Core CPI y/y,CHF,inflation,-1.5,2
1,JPY/Tokyo Core CPI y/y,CHF,labour,-2.0,1
1,JPY/Tokyo Core CPI y/y,AUD,growth,-0.5,2
1,JPY/Tokyo Core CPI y/y,AUD,inflation,-1.0,2
1,JPY/Tokyo Core CPI y/y,AUD,labour,0.0,3
1,JPY/Tokyo Core CPI y/y,CAD,growth,1.0,2
1,JPY/Tokyo Core CPI y/y,CAD,inflation,0.6666666666666666,3
1,JPY/Tokyo Core CPI y/y,CAD,labour,1.5,2
1,JPY/Tokyo Core CPI y/y,USD,growth,0.25,4
1,JPY/Tokyo Core CPI y/y,USD,inflation,0.0,4
